Rallus aquaticus
Porphyrio porphyrio
Diomedea amsterdamensis
Eudyptes chrysocome
Vanellus tricolor
Vanellus miles
Cladorhynchus leucocephalus
Merops apiaster
Saxicola torquatus
Cisticola juncidis
Sylvia melanocephala
Sturnus unicolor
Thalasseus bergii
Dromaius novaehollandiae
Leucogeranus leucogeranus
Fregata minor
Balearica regulorum
Stercorarius longicaudus
Gallinago hardwickii
Gyps bengalensis
Branta hutchinsii
Somateria fischeri
Larus hyperboreus
Xema sabini
Ardenna grisea
Ptychoramphus aleuticus
Daption capense
Pagodroma nivea
Struthio camelus
Cygnus buccinator
Circus pygargus
Ixobrychus minutus
Fulica cristata
Gyps himalayensis
Neophron percnopterus
Sarcogyps calvus
Ephippiorhynchus senegalensis
Lagopus leucura
Pomarea dimidiata
Gallinago media
Thalassarche carteri
Spheniscus magellanicus
Pycnonotus barbatus
Malurus cyaneus
Threskiornis moluccus
Lagopus muta
Bubo scandiacus
Megascops kennicottii
Lichenostomus melanops
Alcedo atthis
Pterodroma leucoptera
Charadrius sanctaehelenae
Leipoa ocellata
Dasyornis brachypterus
Circus cyaneus
Lanius minor
Onychoprion fuscatus
Anthochaera chrysoptera
Phylidonyris novaehollandiae
Lichenostomus penicillatus
Acridotheres tristis
Callaeas cinereus
Anas superciliosa
Anas castanea
Acrocephalus australis
Platalea minor
Melanitta perspicillata
Numenius tenuirostris
Tyto alba
Sula dactylatra
Anthus spinoletta
Phylidonyris melanops
Haliaeetus vocifer
Charadrius pecuarius
Gyps indicus
Stipiturus mallee
Petroica australis
Philesturnus carunculatus
Gavia adamsii
Strix occidentalis
Porzana porzana
Zapornia parva
Locustella luscinioides
Acrocephalus melanopogon
Panurus biarmicus
Remiz pendulinus
Phoebastria immutabilis
Saundersilarus saundersi
Polytelis swainsonii
Sylvia conspicillata
Ceryle rudis
Eunymphicus uvaeensis
Anser rossii
Hieraaetus pennatus
Calyptorhynchus lathami
Acrocephalus schoenobaenus
Upupa epops
Hirundo daurica
Phoenicurus ochruros
Locustella naevia
Sylvia cantillans
Sylvia undata
Sylvia hortensis
Phylloscopus bonelli
Phylloscopus ibericus
Regulus ignicapilla
Certhia brachydactyla
Lanius senator
Cyanopica cyanus
Serinus serinus
Lathamus discolor
Calidris fuscicollis
Falco cenchroides
Cacatua leadbeateri
Eolophus roseicapilla
Falco naumanni
Calidris mauri
Charadrius semipalmatus
Phalacrocorax brasilianus
Fregata magnificens
Sterna hirundinacea
Anastomus oscitans
Limnodromus griseus
Amazonetta brasiliensis
Ardea cocoi
Syrigma sibilatrix
Pardirallus nigricans
Vanellus chilensis
Charadrius collaris
Larus maculipennis
Megaceryle torquata
Chthonicola sagittatus
Glossopsitta concinna
Malurus lamberti
Taeniopygia bichenovii
Acanthiza reguloides
Myzomela sanguinolenta
Rhipidura fuliginosa
Neochmia temporalis
Pezoporus wallicus
Coracias garrulus
Calandrella brachydactyla
Anthus richardi
Calidris ptilocnemis
Haematopus palliatus
Argusianus argus
Gallus gallus
Calyptorhynchus banksii
Phoeniconaias minor
Sterna trudeaui
Patagioenas leucocephala
Sternula superciliaris
Emberiza hortulana
Hirundo rupestris
Galerida cristata
Myiopsitta monachus
Hypotaenidia sylvestris
Pterodroma cahow
Charadrius ruficapillus
Ardeola bacchus
Megascops asio
Aechmophorus occidentalis
Calidris virgata
Arenaria melanocephala
Larus thayeri
Melanitta americana
Emberiza pusilla
Thalassarche chlororhynchos
Phalacrocorax penicillatus
Diomedea dabbenena
Calidris pygmaea
Caprimulgus longipennis
Anas laysanensis
