"","species","n"
"924","Malurus splendens",5
"925","Manis javanica",9
"926","Manorina melanocephala",10
"927","Marcusenius macrolepidotus",12
"928","Mareca americana",12
"929","Mareca penelope",12
"930","Mareca strepera",2
"931","Margariscus margarita",2
"932","Marmaronetta angustirostris",9
"933","Marmota broweri",2
"934","Marmota flaviventris",4
"935","Marmota marmota",3
"936","Marmota vancouverensis",3
"937","Martes americana",2
"938","Martes flavigula",11
"939","Martes foina",6
"940","Martes martes",5
"941","Martes pennanti",2
"942","Maxomys rajah",1
"943","Maxomys whiteheadi",4
"944","Megaceryle alcyon",6
"945","Megaceryle torquata",16
"946","Megadyptes antipodes",7
"947","Megaptera novaeangliae",2
"948","Megascops asio",6
"949","Megascops kennicottii",11
"950","Melanerpes aurifrons",9
"951","Melanerpes carolinus",8
"952","Melanerpes erythrocephalus",10
"953","Melanerpes formicivorus",6
"954","Melanerpes lewis",4
"955","Melanerpes uropygialis",7
"956","Melanitta americana",9
"957","Melanitta deglandi",9
"958","Melanitta nigra",9
"959","Melanitta perspicillata",8
"960","Melanodryas cucullata",4
"961","Meleagris gallopavo",9
"962","Meles meles",10
"963","Melithreptus lunatus",7
"964","Melospiza georgiana",4
"965","Melospiza lincolnii",6
"966","Melospiza melodia",10
"967","Melozone aberti",5
"968","Melozone crissalis",5
"969","Menidia menidia",11
"970","Mephitis mephitis",8
"971","Mergellus albellus",6
"972","Mergus merganser",12
"973","Mergus serrator",10
"974","Merlangius merlangus",4
"975","Merluccius albidus",3
"976","Merluccius bilinearis",4
"977","Merluccius capensis",4
"978","Merluccius gayi",3
"979","Merluccius merluccius",8
"980","Merluccius productus",4
"981","Merops apiaster",12
"982","Mesoplodon bidens",3
"983","Microcarbo melanoleucos",18
"984","Microcarbo pygmaeus",8
"985","Micropogonias furnieri",4
"986","Micropogonias undulatus",4
"987","Micropterus dolomieu",2
"988","Micropterus salmoides",6
"989","Microtus agrestis",13
"990","Microtus arvalis",5
"991","Microtus californicus",3
"992","Microtus montanus",6
"993","Microtus oeconomus",6
"994","Microtus pennsylvanicus",9
"995","Milvus migrans",20
"996","Milvus milvus",6
"997","Mimus polyglottos",7
"998","Misgurnus anguillicaudatus",6
"999","Mixophyes fleayi",3
"1000","Mniotilta varia",8
"1001","Molothrus aeneus",5
"1002","Molothrus ater",6
"1003","Monachus monachus",6
"1004","Monodactylus falciformis",2
"1005","Morelia spilota",19
"1006","Mormyrops anguilloides",7
"1007","Mormyrus longirostris",6
"1008","Morone americana",3
"1009","Morone chrysops",3
"1010","Morone saxatilis",5
"1011","Morus bassanus",10
"1012","Morus capensis",3
"1013","Motacilla alba",9
"1014","Motacilla cinerea",6
"1015","Motacilla flava",9
"1016","Moxostoma anisurum",3
"1017","Moxostoma macrolepidotum",3
"1018","Moxostoma robustum",1
"1019","Moxostoma valenciennesi",1
"1020","Mugil cephalus",4
"1021","Mullus barbatus",1
"1022","Mullus surmuletus",1
"1023","Mungos mungo",5
"1024","Mus musculus",19
"1025","Muscicapa striata",9
"1026","Mustela erminea",14
"1027","Mustela frenata",9
"1028","Mustela nivalis",13
"1029","Mustelus mustelus",5
"1030","Myadestes obscurus",4
"1031","Myadestes townsendi",3
"1032","Mycteria americana",6
"1033","Myiarchus cinerascens",6
"1034","Myiarchus crinitus",6
"1035","Myiarchus tyrannulus",8
"1036","Myiopsitta monachus",8
"1037","Myliobatis aquila",2
"1038","Myocastor coypus",4
"1039","Myodes gapperi",3
"1040","Myodes glareolus",6
"1041","Myodes rufocanus",8
"1042","Myodes rutilus",4
"1043","Myotis daubentonii",20
"1044","Myotis lucifugus",3
"1045","Myotis nattereri",15
"1046","Myotis septentrionalis",3
"1047","Myotis sodalis",2
"1048","Myxine glutinosa",2
"1049","Myxus capensis",6
"1050","Myzomela rubratra",6
"1051","Myzomela sanguinolenta",9
"1052","Nanger granti",5
"1053","Napaeozapus insignis",3
"1054","Naso lituratus",6
"1055","Naso vlamingii",2
"1056","Natrix tessellata",18
"1057","Nectomys squamipes",2
"1058","Nemipterus virgatus",4
"1059","Neochmia temporalis",3
"1060","Neofelis nebulosa",8
"1061","Neogobius melanostomus",4
"1062","Neomys fodiens",10
"1063","Neoodax balteatus",3
"1064","Neophema chrysogaster",6
"1065","Neophron percnopterus",8
"1066","Neotoma albigula",4
"1067","Neotoma magister",3
"1068","Neovison vison",6
"1069","Nerodia fasciata",13
"1070","Nerodia floridana",17
"1071","Netta rufina",3
"1072","Notacanthus chemnitzii",2
"1073","Notechis scutatus",3
"1074","Notemigonus crysoleucas",3
"1075","Notolabrus fucicola",4
"1076","Notolabrus tetricus",4
"1077","Notophthalmus viridescens",8
"1078","Notropis atherinoides",3
"1079","Notropis dorsalis",1
"1080","Notropis hudsonius",1
"1081","Nucifraga caryocatactes",4
"1082","Nucifraga columbiana",4
"1083","Numenius americanus",4
"1084","Numenius arquata",16
"1085","Numenius madagascariensis",6
"1086","Numenius phaeopus",21
"1087","Numenius tenuirostris",7
"1088","Nyctalus noctula",4
"1089","Nyctanassa violacea",4
"1090","Nycticorax nycticorax",6
"1091","Oblada melanura",6
"1092","Ochotona collaris",1
"1093","Octodon degus",1
"1094","Odobenus rosmarus",10
"1095","Odocoileus hemionus",44
"1096","Odocoileus virginianus",46
"1097","Oenanthe oenanthe",11
"1098","Oligoryzomys longicaudatus",6
"1099","Oligosoma suteri",2
"1100","Olisthops cyanomelas",2
"1101","Oncorhynchus nerka",8
"1102","Onychomys leucogaster",4
"1103","Onychomys torridus",2
"1104","Onychoprion fuscatus",14
"1105","Onychoprion lunatus",13
"1106","Onychostoma barbatulum",1
"1107","Oporornis agilis",3
"1108","Orcinus orca",4
"1109","Oreochromis mortimeri",7
"1110","Oreochromis mossambicus",22
"1111","Oreoica gutturalis",2
"1112","Oreortyx pictus",3
"1113","Oreoscoptes montanus",2
"1114","Oriolus oriolus",7
"1115","Oryctolagus cuniculus",10
"1116","Oryx leucoryx",1
"1117","Osmerus mordax",4
"1118","Otis tarda",3
"1119","Ovibos moschatus",1
"1120","Ovis canadensis",2
"1121","Ovis dalli",3
"1122","Oxyura jamaicensis",6
"1123","Oxyura leucocephala",7
"1124","Pachycephala rufiventris",9
"1125","Pachymetopon aeneum",2
"1126","Pachymetopon blochii",3
"1127","Pachymetopon grande",1
"1128","Pagodroma nivea",10
"1129","Pagophila eburnea",8
"1130","Pagophilus groenlandicus",5
"1131","Pagrus auratus",5
"1132","Pagrus pagrus",4
"1133","Paguma larvata",13
"1134","Pan paniscus",2
"1135","Pan troglodytes",5
"1136","Pandion haliaetus",15
"1137","Panthera leo",7
"1138","Panthera pardus",20
"1139","Panthera tigris",10
"1140","Pantherophis obsoletus",6
"1141","Panurus biarmicus",4
"1142","Parabuteo unicinctus",4
"1143","Paralichthys dentatus",5
"1144","Pardirallus nigricans",1
"1145","Pardofelis marmorata",3
"1146","Parkesia motacilla",3
"1147","Parkesia noveboracensis",9
"1148","Parus major",14
"1149","Passer domesticus",18
"1150","Passer montanus",6
"1151","Passerculus sandwichensis",13
"1152","Passerella iliaca",4
"1153","Passerina amoena",3
"1154","Passerina caerulea",4
"1155","Passerina ciris",4
"1156","Passerina cyanea",4
"1157","Patagioenas fasciata",5
"1158","Patagioenas leucocephala",3
"1159","Pelecanus conspicillatus",9
"1160","Pelecanus crispus",5
"1161","Pelecanus erythrorhynchos",5
"1162","Pelecanus occidentalis",14
"1163","Pelecanus rufescens",27
"1164","Perca flavescens",4
"1165","Perca fluviatilis",5
"1166","Percina caprodes",3
"1167","Percopsis omiscomaycus",2
"1168","Perdix perdix",3
"1169","Perisoreus canadensis",2
"1170","Pernis apivorus",4
"1171","Perognathus flavus",3
"1172","Peromyscus eremicus",2
"1173","Peromyscus maniculatus",13
"1174","Petrochelidon fulva",6
"1175","Petrochelidon pyrrhonota",9
"1176","Petroica australis",3
"1177","Petroica phoenicea",8
"1178","Petromyzon marinus",4
"1179","Petrus rupestris",1
"1180","Peucaea aestivalis",3
"1181","Peucaea cassinii",2
"1182","Pezoporus wallicus",3
"1183","Phacochoerus aethiopicus",2
"1184","Phacochoerus africanus",8
"1185","Phaethon aethereus",10
"1186","Phaethon rubricauda",10
"1187","Phainopepla nitens",4
"1188","Phalacrocorax aristotelis",10
"1189","Phalacrocorax auritus",8
"1190","Phalacrocorax brasilianus",9
"1191","Phalacrocorax capensis",4
"1192","Phalacrocorax carbo",13
"1193","Phalacrocorax pelagicus",9
"1194","Phalacrocorax penicillatus",9
"1195","Phalacrocorax urile",9
"1196","Phalaenoptilus nuttallii",6
"1197","Phalaropus fulicarius",13
"1198","Phalaropus lobatus",16
"1199","Phascolarctos cinereus",3
"1200","Phasianus colchicus",3
"1201","Pheucticus ludovicianus",8
"1202","Pheucticus melanocephalus",4
"1203","Philander frenatus",1
"1204","Philesturnus carunculatus",2
"1205","Philoria frosti",4
"1206","Phoca vitulina",13
"1207","Phocarctos hookeri",9
"1208","Phocoena phocoena",2
"1209","Phocoenoides dalli",2
"1210","Phoebastria immutabilis",14
"1211","Phoebetria fusca",3
"1212","Phoebetria palpebrata",10
"1213","Phoeniconaias minor",9
"1214","Phoenicopterus roseus",2
"1215","Phoenicopterus ruber",1
"1216","Phoenicurus ochruros",6
"1217","Phoenicurus phoenicurus",12
"1218","Phrynorhombus norvegicus",7
"1219","Phrynosoma mcallii",3
"1220","Phylidonyris novaehollandiae",10
"1221","Phylloscopus bonelli",7
"1222","Phylloscopus collybita",12
"1223","Phylloscopus ibericus",2
"1224","Phylloscopus sibilatrix",6
"1225","Phylloscopus trochiloides",10
"1226","Phylloscopus trochilus",12
"1227","Phyllotis darwini",2
"1228","Pica pica",12
"1229","Picoides arcticus",2
"1230","Picoides tridactylus",2
"1231","Pictilabrus laticlavius",3
"1232","Picus viridis",9
"1233","Pimephales promelas",7
"1234","Pinicola enucleator",5
"1235","Pipilo chlorurus",5
"1236","Pipilo erythrophthalmus",6
"1237","Pipilo maculatus",6
"1238","Pipistrellus pipistrellus",7
"1239","Pipistrellus pygmaeus",3
"1240","Piranga flava",6
"1241","Piranga ludoviciana",5
"1242","Piranga olivacea",7
"1243","Piranga rubra",6
"1244","Pituophis catenifer",17
"1245","Platalea ajaja",2
"1246","Platalea leucorodia",6
"1247","Platalea minor",2
"1248","Platanista gangetica",4
"1249","Platichthys flesus",4
"1250","Platichthys stellatus",4
"1251","Platycephalus indicus",3
"1252","Platygobio gracilis",1
"1253","Plecotus auritus",8
"1254","Plectrophenax nivalis",3
"1255","Plectropomus leopardus",1
"1256","Plegadis chihi",1
"1257","Plegadis falcinellus",5
"1258","Plestiodon fasciatus",3
"1259","Plethodon cinereus",4
"1260","Plethodon glutinosus",2
"1261","Plethodon jordani",1
"1262","Pleuronectes platessa",5
"1263","Plicofollis dussumieri",3
"1264","Pluvialis apricaria",7
"1265","Pluvialis dominica",6
"1266","Pluvialis fulva",11
"1267","Pluvialis squatarola",8
"1268","Podarcis filfolensis",5
"1269","Podarcis muralis",10
"1270","Podiceps auritus",4
"1271","Podiceps cristatus",11
"1272","Podiceps grisegena",9
"1273","Podiceps nigricollis",15
"1274","Podilymbus podiceps",2
"1275","Poliocephalus poliocephalus",6
"1276","Polioptila caerulea",9
"1277","Polioptila melanura",2
"1278","Pollachius pollachius",1
"1279","Polysteganus praeorbitalis",2
"1280","Polysticta stelleri",12
"1281","Polytelis swainsonii",1
"1282","Pomacanthus arcuatus",5
"1283","Pomacanthus paru",5
"1284","Pomarea dimidiata",1
"1285","Pomatomus saltatrix",2
"1286","Pomatostomus temporalis",6
"1287","Pomoxis annularis",3
"1288","Pomoxis nigromaculatus",3
"1289","Pooecetes gramineus",4
"1290","Poroderma pantherinum",8
"1291","Porphyrio porphyrio",7
"1292","Porzana carolina",1
"1293","Porzana porzana",12
"1294","Potamochoerus larvatus",6
"1295","Priacanthus macracanthus",1
"1296","Prionace glauca",3
"1297","Prionailurus bengalensis",14
"1298","Prionodon linsang",6
"1299","Pristis pectinata",2
"1300","Probarbus jullieni",2
"1301","Probarbus labeamajor",2
"1302","Procapra gutturosa",2
"1303","Procyon lotor",10
"1304","Progne subis",10
"1305","Protonotaria citrea",4
"1306","Prunella modularis",9
"1307","Psaltriparus minimus",9
"1308","Psenopsis anomala",2
"1309","Psephurus gladius",3
"1310","Pseudacris crucifer",8
"1311","Pseudacris maculata",12
"1312","Pseudacris nigrita",10
"1313","Pseudacris ornata",9
"1314","Pseudacris regilla",14
"1315","Pseudacris triseriata",9
"1316","Pseudechis australis",12
"1317","Pseudemys nelsoni",9
"1318","Pseudemys peninsularis",9
"1319","Pseudonaja nuchalis",6
"1320","Pseudophryne corroboree",5
"1321","Pseudophryne pengilleyi",4
"1322","Psittacula eques",3
"1323","Pterocles namaqua",3
"1324","Pterodroma cahow",3
"1325","Pterodroma leucoptera",3
"1326","Pteropus poliocephalus",7
"1327","Pteropus rodricensis",3
"1328","Pteropus samoensis",3
"1329","Pteropus tonganus",4
"1330","Ptilinopus roseicapilla",4
"1331","Ptychoramphus aleuticus",10
"1332","Puffinus mauretanicus",10
"1333","Puma concolor",18
"1334","Pungitius pungitius",4
"1335","Pusa hispida",5
"1336","Pycnonotus barbatus",13
"1337","Pygoscelis adeliae",11
"1338","Pygoscelis antarcticus",10
"1339","Pygoscelis papua",10
"1340","Pyrocephalus rubinus",7
"1341","Pyrrhula pyrrhula",6
"1342","Python regius",7
"1343","Pyxicephalus adspersus",8
"1344","Quiscalus major",3
"1345","Quiscalus mexicanus",11
"1346","Quiscalus quiscula",7
"1347","Raja asterias",4
"1348","Raja brachyura",1
"1349","Raja clavata",3
"1350","Raja microocellata",2
"1351","Raja montagui",4
"1352","Raja rhina",2
"1353","Rallus aquaticus",12
"1354","Rallus elegans",1
"1355","Rallus limicola",1
"1356","Rallus longirostris",3
"1357","Rana dalmatina",7
"1358","Rana temporaria",31
"1359","Rangifer tarandus",2
"1360","Raphicerus campestris",5
"1361","Rastrineobola argentea",2
"1362","Recurvirostra americana",2
"1363","Recurvirostra avosetta",7
"1364","Recurvirostra novaehollandiae",7
"1365","Redunca arundinum",4
"1366","Redunca fulvorufula",3
"1367","Redunca redunca",5
"1368","Regulus calendula",2
"1369","Regulus ignicapilla",3
"1370","Regulus regulus",3
"1371","Regulus satrapa",2
"1372","Reithrodontomys megalotis",6
"1373","Remiz pendulinus",9
"1374","Rhabdosargus holubi",5
"1375","Rhabdosargus sarba",6
"1376","Rhincodon typus",4
"1377","Rhinoceros sondaicus",3
"1378","Rhinoceros unicornis",6
"1379","Rhinolophus ferrumequinum",7
"1380","Rhinolophus hipposideros",9
"1381","Rhipidura fuliginosa",11
"1382","Rhipidura rufifrons",6
"1383","Rhizoprionodon terraenovae",5
"1384","Rhynchoedura ornata",3
"1385","Rhynchophanes mccownii",2
"1386","Riparia riparia",12
"1387","Rissa brevirostris",3
"1388","Rissa tridactyla",13
"1389","Rucervus eldii",6
"1390","Rupicapra pyrenaica",4
"1391","Rupicapra rupicapra",5
"1392","Rusa unicolor",13
"1393","Rutilus rutilus",2
"1394","Rynchops niger",14
"1395","Saguinus fuscicollis",3
"1396","Saiga tatarica",2
"1397","Salamandra salamandra",11
"1398","Salmo salar",5
"1399","Salmo trutta",4
"1400","Salpinctes obsoletus",3
"1401","Salvelinus alpinus",4
"1402","Sander lucioperca",5
"1403","Sander vitreus",3
"1404","Sarcogyps calvus",5
"1405","Sarcophilus harrisii",7
"1406","Sardina pilchardus",2
"1407","Sargochromis codringtonii",5
"1408","Sarpa salpa",5
"1409","Saundersilarus saundersi",2
"1410","Sauromalus ater",4
"1411","Saxicola rubetra",9
"1412","Saxicola torquatus",19
"1413","Sayornis nigricans",6
"1414","Sayornis phoebe",4
"1415","Sayornis saya",5
"1416","Scaphiopus holbrookii",4
"1417","Scarus chameleon",4
"1418","Scarus globiceps",3
"1419","Scarus iseri",2
"1420","Scarus psittacus",4
"1421","Schilbe intermedius",8
"1422","Schilbe mystus",8
"1423","Sciaena umbra",8
"1424","Scinax staufferi",11
"1425","Sciurus vulgaris",3
"1426","Scolopax minor",2
"1427","Scolopax rusticola",4
"1428","Scomber japonicus",3
"1429","Scomber scombrus",2
"1430","Scomberomorus cavalla",2
"1431","Scomberomorus commerson",2
"1432","Scomberomorus niphonius",2
"1433","Scyliorhinus capensis",2
"1434","Scyliorhinus retifer",1
"1435","Sebastes mentella",1
"1436","Sechellophryne gardineri",3
"1437","Seiurus aurocapilla",4
"1438","Selasphorus calliope",9
"1439","Selasphorus platycercus",6
"1440","Selasphorus rufus",6
"1441","Selasphorus sasin",5
"1442","Serinus serinus",7
"1443","Seriphus politus",3
"1444","Setonix brachyurus",3
"1445","Setophaga ruticilla",10
"1446","Sialia currucoides",8
"1447","Sialia mexicana",4
"1448","Sialia sialis",6
"1449","Siren intermedia",6
"1450","Sitta canadensis",5
"1451","Sitta carolinensis",5
"1452","Sitta europaea",2
"1453","Sitta pusilla",2
"1454","Sitta pygmaea",2
"1455","Smilisca baudinii",16
"1456","Solea solea",4
"1457","Somateria fischeri",8
"1458","Somateria mollissima",12
"1459","Somateria spectabilis",7
"1460","Somniosus pacificus",5
"1461","Sooglossus sechellensis",2
"1462","Sorex araneus",7
"1463","Sorex caecutiens",8
"1464","Sorex cinereus",6
"1465","Sorex daphaenodon",3
"1466","Sorex isodon",3
"1467","Sorex minutissimus",4
"1468","Sorex minutus",8
"1469","Sorex monticolus",7
"1470","Sorex roboratus",2
"1471","Sorex tundrensis",6
"1472","Sorex vagrans",4
"1473","Sotalia fluviatilis",1
"1474","Sousa chinensis",3
"1475","Sparodon durbanensis",4
"1476","Spatula clypeata",9
"1477","Spatula cyanoptera",2
"1478","Spatula discors",8
"1479","Spatula querquedula",10
"1480","Spheniscus demersus",6
"1481","Spheniscus humboldti",12
"1482","Spheniscus magellanicus",7
"1483","Spheniscus mendiculus",7
"1484","Sphyrapicus nuchalis",5
"1485","Sphyrapicus ruber",5
"1486","Sphyrapicus thyroideus",3
"1487","Sphyrapicus varius",8
"1488","Sphyrna lewini",3
"1489","Sphyrna mokarran",3
"1490","Sphyrna zygaena",1
"1491","Spirinchus thaleichthys",4
"1492","Spiza americana",4
"1493","Spizella atrogularis",1
"1494","Spizella breweri",2
"1495","Spizella pallida",5
"1496","Spizella passerina",8
"1497","Spizella pusilla",4
"1498","Spondyliosoma emarginatum",1
"1499","Squalus acanthias",6
"1500","Squalus suckleyi",6
"1501","Steganopus tricolor",4
"1502","Stegastes planifrons",6
"1503","Stelgidopteryx serripennis",6
"1504","Stenella attenuata",2
"1505","Stenella coeruleoalba",3
"1506","Stenella longirostris",2
"1507","Stenodus leucichthys",2
"1508","Stenotomus chrysops",4
"1509","Stercorarius longicaudus",10
"1510","Stercorarius parasiticus",11
"1511","Stereolepis gigas",1
"1512","Sterna dougallii",19
"1513","Sterna forsteri",8
"1514","Sterna hirundinacea",11
"1515","Sterna hirundo",14
"1516","Sterna paradisaea",14
"1517","Sterna trudeaui",12
"1518","Sternotherus minor",5
"1519","Sternotherus odoratus",4
"1520","Sternula albifrons",14
"1521","Sternula antillarum",8
"1522","Sternula superciliaris",3
"1523","Stipiturus mallee",1
"1524","Stolothrissa tanganicae",1
"1525","Storeria dekayi",15
"1526","Strepera graculina",10
"1527","Streptopelia bitorquata",4
"1528","Streptopelia decaocto",9
"1529","Streptopelia turtur",7
"1530","Strix aluco",11
"1531","Strix nebulosa",5
"1532","Strix occidentalis",3
"1533","Strix uralensis",5
"1534","Strix varia",10
"1535","Struthio camelus",4
"1536","Sturnella magna",6
"1537","Sturnella neglecta",5
"1538","Sturnus unicolor",5
"1539","Sturnus vulgaris",10
"1540","Sula dactylatra",11
"1541","Sula sula",9
"1542","Surnia ulula",6
"1543","Sus scrofa",28
"1544","Sylvia atricapilla",12
"1545","Sylvia borin",10
"1546","Sylvia cantillans",4
"1547","Sylvia communis",8
"1548","Sylvia conspicillata",3
"1549","Sylvia curruca",10
"1550","Sylvia hortensis",6
"1551","Sylvia melanocephala",4
"1552","Sylvia undata",5
"1553","Sylvicapra grimmia",15
"1554","Syncerus caffer",10
"1555","Syngnathus rostellatus",4
"1556","Syngnathus watermeyeri",1
"1557","Synodontis zambezensis",1
"1558","Syrigma sibilatrix",5
"1559","Tachybaptus ruficollis",7
"1560","Tachycineta bicolor",4
"1561","Tachycineta thalassina",8
"1562","Tadorna ferruginea",7
"1563","Tadorna tadorna",3
"1564","Tadorna tadornoides",5
"1565","Taeniopygia bichenovii",8
"1566","Tamias striatus",5
"1567","Tamiasciurus hudsonicus",2
"1568","Tantilla nigriceps",6
"1569","Tapirus indicus",7
"1570","Tautogolabrus adspersus",4
"1571","Taxidea taxus",4
"1572","Telespiza cantans",2
"1573","Terapon jarbua",5
"1574","Terrapene carolina",9
"1575","Terrapene ornata",3
"1576","Testudo hermanni",4
"1577","Tetrao urogallus",2
"1578","Tetrapturus angustirostris",2
"1579","Thalassarche bulleri",13
"1580","Thalassarche carteri",4
"1581","Thalassarche chlororhynchos",4
"1582","Thalassarche chrysostoma",4
"1583","Thalassarche melanophris",12
"1584","Thalasseus bergii",18
"1585","Thalasseus maximus",11
"1586","Thalasseus sandvicensis",20
"1587","Thalassoma bifasciatum",5
"1588","Thalassoma duperrey",7
"1589","Thalassoma pavo",4
"1590","Thaleichthys pacificus",3
"1591","Thamnophis elegans",18
"1592","Thamnophis marcianus",27
"1593","Thamnophis sirtalis",21
"1594","Thinornis cucullatus",3
"1595","Threskiornis moluccus",10
"1596","Thryomanes bewickii",7
"1597","Thryothorus ludovicianus",5
"1598","Thunnus alalunga",3
"1599","Thunnus albacares",3
"1600","Thunnus maccoyii",3
"1601","Thunnus obesus",4
"1602","Thunnus thynnus",3
"1603","Thunnus tonggol",2
"1604","Thylamys elegans",4
"1605","Thymallus arcticus",2
"1606","Tilapia mariae",3
"1607","Tlalocohyla loquax",7
"1608","Tlalocohyla picta",10
"1609","Todiramphus cinnamominus",4
"1610","Torpedo marmorata",10
"1611","Toxostoma bendirei",3
"1612","Toxostoma crissale",3
"1613","Toxostoma curvirostre",4
"1614","Toxostoma lecontei",1
"1615","Toxostoma longirostre",3
"1616","Toxostoma redivivum",2
"1617","Toxostoma rufum",2
"1618","Trachurus murphyi",1
"1619","Trachurus trachurus",3
"1620","Tragelaphus angasii",3
"1621","Tragelaphus buxtoni",3
"1622","Tragelaphus scriptus",14
"1623","Tragelaphus strepsiceros",4
"1624","Tragulus napu",4
"1625","Triakis megalopterus",2
"1626","Triakis semifasciata",6
"1627","Trichechus manatus",20
"1628","Trichosurus vulpecula",6
"1629","Triglopsis quadricornis",3
"1630","Tringa brevipes",7
"1631","Tringa erythropus",19
"1632","Tringa flavipes",9
"1633","Tringa glareola",11
"1634","Tringa melanoleuca",11
"1635","Tringa nebularia",23
"1636","Tringa ochropus",15
"1637","Tringa semipalmata",7
"1638","Tringa solitaria",6
"1639","Tringa totanus",8
"1640","Triprion petasatus",8
"1641","Trisopterus esmarkii",4
"1642","Triturus cristatus",15
"1643","Troglodytes aedon",11
"1644","Troglodytes troglodytes",7
"1645","Tropidonophis mairii",4
"1646","Turdus iliacus",11
"1647","Turdus merula",10
"1648","Turdus migratorius",11
"1649","Turdus philomelos",9
"1650","Turdus pilaris",8
"1651","Turdus viscivorus",10
"1652","Tursiops truncatus",5
"1653","Tympanuchus cupido",2
"1654","Tympanuchus phasianellus",3
"1655","Tyrannus couchii",8
"1656","Tyrannus forficatus",11
"1657","Tyrannus tyrannus",14
"1658","Tyrannus verticalis",8
"1659","Tyrannus vociferans",9
"1660","Tyto alba",25
"1661","Uma inornata",1
"1662","Upeneus moluccensis",1
"1663","Upupa epops",7
"1664","Uria aalge",10
"1665","Uria lomvia",10
"1666","Urobatis jamaicensis",4
"1667","Urocyon cinereoargenteus",9
"1668","Ursus americanus",20
"1669","ursus arctos",18
"1670","Ursus maritimus",11
"1671","Uta stansburiana",5
"1672","Valamugil robustus",2
"1673","Vanellus chilensis",3
"1674","Vanellus miles",6
"1675","Vanellus tricolor",4
"1676","Vanellus vanellus",5
"1677","Variola louti",1
"1678","Vermivora chrysoptera",7
"1679","Vermivora cyanoptera",2
"1680","Vicugna vicugna",4
"1681","Vipera aspis",8
"1682","Vipera ursinii",3
"1683","Vireo bellii",6
"1684","Vireo cassinii",5
"1685","Vireo flavifrons",4
"1686","Vireo gilvus",5
"1687","Vireo griseus",6
"1688","Vireo huttoni",3
"1689","Vireo olivaceus",6
"1690","Vireo philadelphicus",7
"1691","Vireo plumbeus",2
"1692","Vireo solitarius",5
"1693","Vireo vicinior",4
"1694","Vulpes lagopus",1
"1695","Vulpes vulpes",12
"1696","Xanthocephalus xanthocephalus",3
"1697","Xema sabini",11
"1698","Xiphias gladius",4
"1699","Xyrauchen texanus",3
"1700","Zalophus californianus",5
"1701","Zamenis longissimus",10
"1702","Zapornia parva",9
"1703","Zebrasoma flavescens",6
"1704","Zebrasoma scopas",5
"1705","Zenaida asiatica",7
"1706","Zenaida macroura",9
"1707","Zonotrichia albicollis",5
"1708","Zonotrichia atricapilla",6
"1709","Zonotrichia leucophrys",8
"1710","Zootoca vivipara",7
"1711","Zosterops japonicus",5
