"","species","n"
"222","Branta bernicla",4
"223","Branta canadensis",8
"224","Branta hutchinsii",5
"225","Branta leucopsis",6
"226","Branta ruficollis",8
"227","Branta sandvicensis",2
"228","Brevoortia patronus",2
"229","Brevoortia tyrannus",5
"230","Brycinus imberi",6
"231","Bubo bubo",10
"232","Bubo scandiacus",4
"233","Bubo virginianus",15
"234","Bubulcus ibis",6
"235","Bucephala albeola",10
"236","Bucephala clangula",11
"237","Bucephala islandica",4
"238","Bufo bufo",26
"239","Buglossidium luteum",3
"240","Burhinus oedicnemus",5
"241","Burramys parvus",1
"242","Buteo buteo",9
"243","Buteo jamaicensis",11
"244","Buteo lagopus",8
"245","Buteo lineatus",4
"246","Buteo platypterus",4
"247","Buteo regalis",5
"248","Buteo swainsoni",7
"249","Butorides striata",4
"250","Cacatua galerita",4
"251","Cacatua leadbeateri",2
"252","Calamospiza melanocorys",3
"253","Calandrella brachydactyla",5
"254","Calcarius lapponicus",4
"255","Calcarius ornatus",2
"256","Calcarius pictus",6
"257","Calidris acuminata",7
"258","Calidris alba",8
"259","Calidris alpina",12
"260","Calidris canutus",9
"261","Calidris ferruginea",22
"262","Calidris fuscicollis",10
"263","Calidris himantopus",8
"264","Calidris maritima",7
"265","Calidris mauri",6
"266","Calidris melanotos",12
"267","Calidris minuta",19
"268","Calidris minutilla",14
"269","Calidris ptilocnemis",5
"270","Calidris pugnax",12
"271","Calidris pusilla",10
"272","Calidris pygmaea",3
"273","Calidris ruficollis",6
"274","Calidris subruficollis",4
"275","Calidris temminckii",13
"276","Calidris tenuirostris",6
"277","Calidris virgata",4
"278","Callaeas cinereus",2
"279","Callionymus lyra",3
"280","Callionymus maculatus",3
"281","Callipepla californica",8
"282","Callipepla gambelii",3
"283","Callipepla squamata",2
"284","Callisaurus draconoides",4
"285","Callorhinus ursinus",4
"286","Calomys venustus",2
"287","Calypte anna",7
"288","Calypte costae",6
"289","Calyptorhynchus banksii",3
"290","Calyptorhynchus lathami",1
"291","Campylorhynchus brunneicapillus",2
"292","Canis aureus",10
"293","Canis latrans",17
"294","Canis lupus",16
"295","Canis simensis",4
"296","Canthigaster jactator",6
"297","Capra falconeri",5
"298","Capra ibex",2
"299","Capra pyrenaica",3
"300","Capreolus capreolus",14
"301","Caprimulgus longipennis",7
"302","Caracara cheriway",9
"303","Caranx crysos",2
"304","Caranx sexfasciatus",2
"305","Carcharhinus amboinensis",6
"306","Carcharhinus brachyurus",4
"307","Carcharhinus brevipinna",2
"308","Carcharhinus leucas",4
"309","Carcharhinus limbatus",1
"310","Carcharhinus longimanus",1
"311","Carcharhinus obscurus",3
"312","Carcharhinus plumbeus",4
"313","Carcharias taurus",3
"314","Carcharodon carcharias",4
"315","Cardinalis cardinalis",8
"316","Cardinalis sinuatus",3
"317","Carduelis carduelis",10
"318","Caretta caretta",10
"319","Carpodacus erythrinus",7
"320","Castor canadensis",5
"321","Castor fiber",10
"322","Catharacta maccormicki",13
"323","Catharacta skua",10
"324","Cathartes aura",9
"325","Catharus bicknelli",4
"326","Catharus fuscescens",3
"327","Catharus guttatus",3
"328","Catharus minimus",4
"329","Catharus ustulatus",13
"330","Catherpes mexicanus",3
"331","Catopuma temminckii",9
"332","Catostomus catostomus",2
"333","Catostomus commersonii",2
"334","Centrocercus urophasianus",1
"335","Centropristis striata",1
"336","Cephalopholis fulva",2
"337","Cepphus columba",12
"338","Cepphus grylle",12
"339","Ceratotherium simum",3
"340","Cerorhinca monocerata",10
"341","Certhia americana",2
"342","Certhia brachydactyla",7
"343","Certhia familiaris",2
"344","Cervus elaphus",6
"345","Ceryle rudis",25
"346","Cetorhinus maximus",2
"347","Cettia cetti",5
"348","Chaetodipus intermedius",3
"349","Chaetodipus penicillatus",2
"350","Chaetodon capistratus",2
"351","Chaetodon citrinellus",3
"352","Chaetodon kleinii",5
"353","Chaetodon plebeius",5
"354","Chaetodon rainfordi",4
"355","Chaetodon striatus",6
"356","Chaetura pelagica",5
"357","Chaetura vauxi",4
"358","Chamaea fasciata",2
"359","Charadrius alexandrinus",17
"360","Charadrius collaris",2
"361","Charadrius dubius",14
"362","Charadrius hiaticula",13
"363","Charadrius mongolus",14
"364","Charadrius montanus",3
"365","Charadrius pecuarius",17
"366","Charadrius ruficapillus",7
"367","Charadrius sanctaehelenae",4
"368","Charadrius semipalmatus",11
"369","Charadrius vociferus",7
"370","Chasiempis sandwichensis",5
"371","Cheimerius nufar",3
"372","Chelidonichthys lucerna",5
"373","Chelon macrolepis",2
"374","Chelonia mydas",5
"375","Chelydra serpentina",15
"376","Chionactis occipitalis",6
"377","Chlamydosaurus kingii",4
"378","Chlidonias hybrida",8
"379","Chlidonias niger",18
"380","Chlorophthalmus agassizi",1
"381","Chondestes grammacus",4
"382","Chordeiles acutipennis",4
"383","Chordeiles minor",12
"384","Chromis multilineata",7
"385","Chrysemys picta",10
"386","Chrysoblephus laticeps",2
"387","Chrysoblephus puniceus",2
"388","Ciconia ciconia",2
"389","Ciconia nigra",3
"390","Cinclus cinclus",3
"391","Cinclus mexicanus",3
"392","Circus aeruginosus",7
"393","Circus cyaneus",8
"394","Circus hudsonius",8
"395","Circus pygargus",7
"396","Cisticola juncidis",11
"397","Cistothorus palustris",4
"398","Cistothorus platensis",6
"399","Citharichthys arctifrons",7
"400","Cladorhynchus leucocephalus",6
"401","Clangula hyemalis",9
"402","Clarias gariepinus",10
"403","Clemmys guttata",7
"404","Climacteris picumnus",5
"405","Clupea harengus",2
"406","Coccothraustes coccothraustes",3
"407","Coccyzus americanus",6
"408","Coccyzus erythropthalmus",4
"409","Colaptes auratus",7
"410","Colinus virginianus",5
"411","Colobus guereza",3
"412","Coluber constrictor",13
"413","Columba livia",5
"414","Columba oenas",11
"415","Columba palumbus",10
"416","Columbina inca",4
"417","Columbina passerina",8
"418","Connochaetes taurinus",3
"419","Contopus cooperi",8
"420","Contopus sordidulus",4
"421","Contopus virens",4
"422","Copsychus sechellarum",3
