"","id","Data.source.citation","Class","Order","Family","Genus","Species","Sub.species","Authority","Common.Name","Location.of.population","Country.list","Region","Decimal.Latitude","Decimal.Longitude","Are.coordinates.for.specific.location.","system","biome","realm","Native","Alien","Invasive","Units","Sampling.method","Data.transformed","mu","lCI","uCI","sigma^2","tau^2","x0","Start","End"
"21",198," U.S. Fish and Wildlife Service (2006). Revised recovery plan for Hawaiian Forest Birds.: 2-63.","Aves","Passeriformes","Fringillidae","Loxioides","bailleui",NA,"Oustalet, 1877","Palila","Hawaii","United States","North America",19.59278,-155.51972,FALSE,"Terrestrial","Tropical and subtropical coniferous forests","Oceania","Yes","No","No","Population estimate","Annual count surveys","No",-0.00835973188833011,-0.0431285160174638,0.0264090522408035,9.93460570882183e-09,0.106990383721201,0.567409576975595,1,16
"22",199," Freifeld, H. (2005). Laysan finch population status, 1966-2005. U. S. F. W. Service.","Aves","Passeriformes","Fringillidae","Telespiza","cantans",NA,"Wilson, 1890","Laysan finch","Laysan Island, Hawaii","United States","North America",25.77056,-171.7375,TRUE,"Terrestrial","Tropical and subtropical grasslands savannas and shrublands","Oceania","Yes","No","No","Number of individuals","Unknown","No",0.0134200134312203,-0.0467261099775504,0.0735661368399911,0.0170122076960556,0.0323634218885218,0.253098133943479,1,21
"23",254," U.S. Fish and Wildlife Service (1999). Technical/Agency draft revised recovery plan for the Puerto Rican parrot (Amazona vittata). Atlanta, Georgia: 77 pp.","Aves","Psittaciformes","Psittacidae","Amazona","vittata",NA,"(Boddaert, 1783)","Puerto Rican parrot","Puerto Rico","Puerto Rico","Latin America and Caribbean",18.23278,-66.4575,FALSE,"Terrestrial","Tropical and subtropical moist broadleaf forests","Neotropical","Yes","No","No","Number of pre-breeding individuals","Unknown","No",0.0430443681128581,-0.0375288807994985,0.123617617025215,0.022823260676835,0.0298012591805039,0.113154662454898,1,16
"24",265," Baillie, S. R., J. H. Marchant, et al. (2006). Breeding Birds in the Wider Countryside: their conservation status 2005. B. R. R. N. 435.","Aves","Passeriformes","Fringillidae","Carduelis","cannabina",NA,"(Linnaeus, 1758)","Linnet / Eurasian linnet","UK","United Kingdom","Europe",54,-4,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Index","Common Bird Census - Observation","No",-0.031929990539262,-0.0506461044666293,-0.0132138766118947,0.00255315539753785,3.42907142825308e-17,0.962459791863768,1,29
"25",267," Baillie, S. R., J. H. Marchant, et al. (2006). Breeding Birds in the Wider Countryside: their conservation status 2005. B. R. R. N. 435.","Aves","Falconiformes","Accipitridae","Accipiter","nisus",NA,"(Linnaeus, 1758)","Eurasian sparrowhawk / Northern sparrowhawk","UK","United Kingdom","Europe",54,-4,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Index","Common Bird Census - Observation","No",0.0404228855720028,0.0245284833696377,0.056317287774368,0.0015782925116366,5.93669725618411e-13,0.0292786069669475,1,25
"26",270," Baillie, S. R., J. H. Marchant, et al. (2006). Breeding Birds in the Wider Countryside: their conservation status 2005. B. R. R. N. 435.","Aves","Passeriformes","Alaudidae","Alauda","arvensis",NA,"Linnaeus, 1758","Eurasian skylark","UK","United Kingdom","Europe",54,-4,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Index","common bird count- observation","No",-0.0300880626223092,-0.0479134202011041,-0.0122627050435143,0.0023159137960051,2.68441840400687e-17,0.903101761252445,1,29
"27",271," Svensson, S., M. Svensson, et al. (1999). Svensk Fagelatlas (Swedish Bird Atlas). VÌ´r FÌ´gelvÌ_rld. : 551.","Aves","Passeriformes","Alaudidae","Alauda","arvensis",NA,"Linnaeus, 1758","Eurasian skylark","Sweden","Sweden","Europe",62,15,FALSE,"Terrestrial","Boreal forests/taiga","Palearctic","Yes","No","No","Population index","Unknown","No",-0.0406236494434901,-0.099255942278766,0.0180086433917857,0.0144618887526648,0.00861415763140462,0.775091688982718,1,18
"28",272," Van Strien, A. J., J. Pannekoek, et al. (2001). Indexing European bird population trends using results of national monitoring schemes: a trial of a new method. Bird Study 48: 200-213.","Aves","Passeriformes","Alaudidae","Alauda","arvensis",NA,"Linnaeus, 1758","Eurasian skylark","Netherlands","Netherlands","Europe",52.5,5.75,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of breeding pairs","Counts per site per year","No",-0.0873017378053228,-0.153910408205473,-0.0206930674051728,2.04405907162247e-07,0.0485050303904675,0.732222924573164,1,8
"29",273," Van Strien, A. J., J. Pannekoek, et al. (2001). Indexing European bird population trends using results of national monitoring schemes: a trial of a new method. Bird Study 48: 200-213.","Aves","Passeriformes","Alaudidae","Alauda","arvensis",NA,"Linnaeus, 1758","Eurasian skylark","Denmark","Denmark","Europe",56,10,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of breeding pairs","Counts per site per year","No",-0.0615382485847579,-0.17008642442731,0.0470099272577945,0.0398727247768058,2.1102948938468e-07,1.00999706875358,1,14
"30",275," Van Strien, A. J., J. Pannekoek, et al. (2001). Indexing European bird population trends using results of national monitoring schemes: a trial of a new method. Bird Study 48: 200-213.","Aves","Passeriformes","Alaudidae","Alauda","arvensis",NA,"Linnaeus, 1758","Eurasian skylark","East Germany, Finland, Latvia, Estonia","Germany, Finland, Latvia, Estonia","Europe",59.37611,24.43417,FALSE,"Terrestrial","Temperate broadleaf and mixed forests","Palearctic","Yes","No","No","Number of breeding pairs","Counts per site per year","No",-0.030786135104164,-0.132950488993067,0.0713782187847394,0.0338506847917518,0.0116352465888692,0.43953452094916,1,14
