"","model","metric","mean"
"54","1045","mean.phylo",0.00423538598444968
"55","1046","mean.phylo",0.00492487957492333
"56","1047","mean.phylo",0.00330092531349019
"57","1048","mean.phylo",0.00196720975596322
"58","1049","mean.phylo",0.00115359314459421
"59","105","mean.phylo",0.00472148413594283
"60","1050","mean.phylo",0.00239988250311202
"61","1051","mean.phylo",0.00348105703462287
"62","1052","mean.phylo",0.00417608495844581
"63","1053","mean.phylo",0.00208087827803358
"64","1054","mean.phylo",0.00523659908929678
"65","1055","mean.phylo",0.00866988562381344
"66","1056","mean.phylo",0.00705172756387026
"67","1057","mean.phylo",0.0131702629479628
"68","1058","mean.phylo",0.0105423254692709
"69","1059","mean.phylo",0.00504793059109547
"70","106","mean.phylo",0.00524241888051809
"71","1060","mean.phylo",0.00146588666082728
"72","1061","mean.phylo",0.00300074343761919
"73","1062","mean.phylo",0.0075069968970802
"74","1063","mean.phylo",0.00413458799780667
"75","1064","mean.phylo",0.00781024912271825
"76","1065","mean.phylo",0.00275994779535942
"77","1066","mean.phylo",0.0021098724072101
"78","1067","mean.phylo",0.00292379171118449
"79","1068","mean.phylo",0.00427770515825942
"80","1069","mean.phylo",0.00203103523660419
"81","107","mean.phylo",0.005520325722108
"82","1070","mean.phylo",0.00303988326575989
"83","1071","mean.phylo",0.00335815541656938
"84","1072","mean.phylo",0.00430002974913919
"85","1073","mean.phylo",0.00593327469844644
"86","1074","mean.phylo",0.00398874212923285
"87","1075","mean.phylo",0.0016633635061125
"88","1076","mean.phylo",0.00351108748699717
"89","1077","mean.phylo",0.00110228848107787
"90","1078","mean.phylo",0.00376214232933971
"91","1079","mean.phylo",0.00182600729861636
"92","108","mean.phylo",0.0156586896929241
"93","1080","mean.phylo",0.00272455046916822
"94","1081","mean.phylo",0.0062518208893992
"95","1082","mean.phylo",0.00563432340699711
"96","1083","mean.phylo",0.00599583930228813
"97","1084","mean.phylo",0.00657356314490016
"98","1085","mean.phylo",0.00575113022474459
"99","1086","mean.phylo",0.00442444917992828
"100","1087","mean.phylo",0.0033014520500185
"101","1088","mean.phylo",0.00462933540711554
"102","1089","mean.phylo",0.00320205808074504
"103","109","mean.phylo",0.00441296954262375
"104","1090","mean.phylo",0.00382688590615857
"105","1091","mean.phylo",0.00417305842032439
"106","1092","mean.phylo",0.00185229412127508
"107","1093","mean.phylo",0.00438479166274983
"108","1094","mean.phylo",0.00487922160455163
"109","1095","mean.phylo",0.00476521481020438
"110","1096","mean.phylo",0.00451686641478091
"111","1097","mean.phylo",0.00271112750386226
"112","1098","mean.phylo",0.00486485193454758
"113","1099","mean.phylo",0.00158064031631996
"114","11","mean.phylo",0.0016604185563319
"115","110","mean.phylo",0.00667456527641628
"116","1100","mean.phylo",0.00286325957821265
"117","1101","mean.phylo",0.0027300591443768
"118","1102","mean.phylo",0.00327129539351618
"119","1103","mean.phylo",0.00235549702469033
"120","1104","mean.phylo",0.00630626063299258
"121","1105","mean.phylo",0.00735084868951435
"122","1106","mean.phylo",0.00581977607425246
"123","1107","mean.phylo",0.00272602694018431
"124","1108","mean.phylo",0.00453636699855621
"125","1109","mean.phylo",0.002351439696981
